book_a;book_b;count
0373218486;0515126772;5
0553802496;0425107469;5
0312980159;0515135739;5
006000438X;0679734775;5
0375412824;0446608955;5
006000438X;067976402X;5
0425192725;1400031354;5
006000438X;0679781587;5
0525947299;0786868716;5
0373243286;051512608X;5
0743469801;0671001795;5
0446604666;0440234743;5
0452282195;0385720106;5
0373243286;0515121843;5
0316969443;0316781266;5
0743424425;0451169522;5
0836218353;0836221362;5
0743424425;0451167317;5
0671027573;0671027581;5
0671027573;059035342X;5
0373218966;0373484224;5
0373218966;0373218400;5
0446360589;0380717018;5
0373218966;0373218036;5
034538184X;0380710218;5
0452282195;0440226430;5
0373218966;0399149392;5
0312980159;0316666343;5
006000438X;0316776963;5
0894803204;0671003755;5
0440221595;1558744150;5
0375760911;0671693816;5
006440188X;0316666343;5
0373218486;0515128554;5
0452282195;0375727345;5
0452282195;0375726403;5
0375760911;1400031346;5
0375412824;0446672211;5
0671867172;0425163407;5
0140186409;043935806X;5
0671027573;0439136369;5
0425192725;0786868716;5
037570504X;0671038184;5
006000438X;0452269571;5
0671867172;0440225701;5
0312274920;0385722206;5
0553802461;0316603287;5
0671027387;0345417623;5
0894803204;0345339703;5
006000438X;0140298479;5
0743439740;0440220602;5
0385497466;0316693006;5
0385497466;0316666343;5
0380731851;0671027360;5
0786866586;0316666343;5
0380731851;0671042262;5
0446675059;1573229326;5
0375703764;0345337662;5
0441102670;0441172695;5
0440221595;0440213525;5
0375703861;0446310786;5
0743436210;0345370775;5
0515132187;0373484410;5
0316789089;0671003755;5
0440221595;0440235596;5
0060922532;0449907481;5
0440221595;0440213290;5
0380731851;0060928336;5
0684833395;0553296981;5
074322535X;044023722X;5
0451186362;0440211727;5
0679736042;0375705856;5
0441172695;0451156609;5
1558745718;0786868716;5
0804115613;0375726403;5
0446676098;0060958022;5
0446676098;0385335881;5
0449910571;0375412530;5
0451188454;0060928336;5
0373218036;051513628X;5
0553213172;059035342X;5
0515130966;042518630X;5
0373484429;0515132020;5
0871136791;0070212570;5
0425181685;0345423402;5
0064405176;0440219078;5
0440207622;0671670689;5
0441569595;0425158640;5
0786866586;0316284955;5
0060922532;0316666343;5
042518286X;0345370775;5
0679735771;0142001740;5
0312421273;0679781587;5
0553569058;0312195516;5
0425181685;0441005241;5
0425192733;0156027321;5
006440188X;0553296981;5
0525947647;0786868716;5
000649840X;0156027321;5
1592400876;0345445848;5
0515133302;0515122491;5
0743439740;0440224764;5
0066214122;0553579754;5
0452278902;0670835382;5
006000438X;0312282990;5
0425121259;0345384369;5
0743460529;0671793489;5
0743460529;0671867113;5
034536676X;0316666343;5
155874424X;0842329129;5
0425121259;0345384350;5
0316693324;0316690619;5
0553802461;0316666343;5
0671867156;0971880107;5
0060927569;0060930535;5
0440221595;0440204194;5
0425128164;0345353145;5
0330367358;0330332775;5
0743439740;044021145X;5
0380727501;0671027360;5
1558746226;0786868716;5
0684833395;0451526341;5
0060922532;0452269571;5
0385497466;0375727345;5
0446676098;0316666343;5
0060922532;0385479565;5
0345338588;0345318854;5
0385498721;0380813815;5
0684832291;0671004573;5
0375412824;0345435168;5
0743439740;0786868716;5
0767905202;0373250126;5
0452268060;068484477X;5
0553274295;0345339681;5
0060085452;0385504209;5
0553274295;0316769487;5
0425129586;0312195516;5
0385510438;0553802496;5
0385498721;0385722192;5
0836204387;0836220889;5
0836204387;0836218787;5
0441172695;0345313151;5
0060085452;0385335482;5
0064400026;0064400557;5
0064400026;0064400018;5
0553274295;0312195516;5
0446604658;0312966970;5
0345370805;0060987103;5
0553274295;0316666343;5
0345366239;0385504209;5
0679426159;0345445848;5
0679426159;0060987103;5
042518286X;0743411250;5
0553274295;0451169522;5
0553274295;0679781587;5
0449910571;0060987561;5
0060922532;0375727345;5
0515130966;051513287X;5
0553274295;0446310786;5
0425192725;0553280368;5
0671867156;044021145X;5
037541309X;044023722X;5
042518286X;0449006530;5
0679426159;0316666343;5
0446676098;0446672211;5
0515133876;0345423402;5
074322535X;0316666343;5
042518286X;0425147622;5
042518286X;0440226430;5
0836204387;0836217691;5
0425181464;051511779X;5
0553275976;0064407667;5
0446604844;0446606324;5
0446364800;0345380371;5
0684857820;0385505833;5
0671867113;0743460529;5
155874424X;0312966970;5
0449910571;0670892963;5
0425119920;0425107469;5
0385512104;0140298479;5
0312422156;0140293248;5
0446604844;0440225701;5
0064400018;0064400026;5
0385512104;038572179X;5
0425181464;0515131229;5
0425181464;0515136379;5
0425181464;051513628X;5
0425181464;051513287X;5
067100042X;0671867113;5
042518286X;0316666343;5
0451183665;0345370775;5
0553584510;0786868716;5
0679742298;0439139597;5
0375412824;0316780375;5
0609610597;0375727345;5
0786889020;0060392452;5
0385512104;0316096199;5
0871136791;0142001740;5
0312422156;0316096199;5
0373218192;0373218397;5
0373218192;0373218036;5
0446677450;0316666343;5
0446604658;0061009059;5
0446676098;0786868716;5
0385498721;0312195516;5
0671568175;0743460529;5
0679742298;0439064864;5
0451181379;0671867172;5
0446604844;0440234743;5
0449910571;0449003981;5
0671888587;0671867091;5
0385512104;0312278586;5
0679735771;0312195516;5
0451188454;0312195516;5
0446604844;0440236673;5
0385512104;0312195516;5
0380727501;0767902521;5
0385729332;0140293248;5
0385729332;014029628X;5
0345368932;0345384911;5
0441005241;0425181685;5
0312201656;067976402X;5
080411868X;0316601950;5
0374129983;0312278586;5
0061000027;0441790348;5
0385722435;1573229326;5
080411868X;0345353145;5
0451137965;044021145X;5
0451137965;0440214041;5
0425132951;0425115801;5
0385722435;0316776963;5
0345368932;034529873X;5
0671867091;0671004573;5
0553279378;0440219078;5
0451132378;0451186362;5
0451132378;0451184963;5
0345389417;0060928336;5
0446605409;0425182878;5
140003065X;0385721420;5
0316168688;0142000205;5
0425132951;042513525X;5
0451132378;0451180232;5
0786890436;0679429220;5
0688177859;0679781587;5
0316780375;0609804138;5
0451137965;0345353145;5
074343627X;0425124347;5
0425132951;067102423X;5
0553279378;0684872153;5
0373484003;0515114693;5
0553279378;0142001740;5
0446603929;0446612790;5
0060920084;0449221482;5
0553569910;0446610038;5
0671729411;0671534718;5
0425178765;0425147622;5
1400030382;0385722206;5
0140143505;0385335482;5
0345423291;0743454529;5
0812575717;0812550706;5
0345368932;0345335465;5
0446605409;0380718332;5
0553563521;0345413903;5
0316690619;0316693200;5
0553569910;0553582135;5
0440241162;0446610542;5
0515135062;0425189031;5
0385335830;0440226430;5
0316603287;0345452550;5
0425179672;067976402X;5
0380721643;0380725827;5
0425179672;0671003755;5
0553569910;0312980140;5
0345459202;0743418174;5
0345386108;042513525X;5
038533558X;0786868716;5
0345459202;0679781587;5
0345386108;0425153975;5
0345386108;0425158594;5
0316168815;0142001740;5
0060977493;067976402X;5
0743460529;0425121259;5
0553213148;0842329129;5
0375412530;0786868716;5
0062502182;0316769487;5
0871136791;0425162443;5
0316780812;0743237188;5
0425179672;0425167313;5
0446391301;0375705171;5
0316789089;0312278586;5
0553569910;0312983271;5
0345386108;0425124347;5
0380721643;0380723638;5
0446391301;0060987529;5
0449912558;0316666343;5
0451132378;0451167317;5
0786890436;080410526X;5
0515135062;0373484410;5
0786890436;0804114986;5
0515135062;0312966970;5
0451132378;0451176464;5
0451132378;0451173317;5
0449005836;0316666343;5
0425132951;034539657X;5
140003065X;0312195516;5
0786890436;0743418174;5
0385503857;0385504209;5
0671867091;0671004549;5
0671867091;0671003755;5
0375412530;0670894605;5
0316168688;0312195516;5
080411868X;0060976845;5
0316690619;0316693324;5
0515132187;0425183971;5
0441010512;0449212602;5
044022425X;059035342X;5
0446365386;0380018179;5
0553277472;0316666343;5
0440221315;1558745157;5
0552134619;0552147680;5
0316690619;0385472951;5
0425178765;0345413903;5
0316168688;0385722206;5
0316690619;0345337662;5
0380727501;0345337662;5
1558745718;0446672211;5
0345453816;0446612790;5
0425178765;0312976275;5
1559029838;0553572997;5
0671729411;0671759345;5
0425178765;0312924585;5
1558745157;0312195516;5
0425130711;0451142934;5
0446365386;0345361792;5
0060921145;0671003755;5
055356451X;0553582526;5
0553277472;0060392452;5
0446365386;044021145X;5
0345465083;0671001795;5
0425130711;0451167317;5
0553277472;0060199652;5
0316182540;0345417623;5
0451181379;0345384350;5
0446365386;0375412530;5
0671867113;067100042X;5
0836218051;0836217691;5
038533334X;0345443284;5
0425178765;0449003787;5
0373244487;0373484410;5
0452260116;0316666343;5
0446394521;0345361792;5
0316603287;0312265859;5
0316788228;0786868716;5
0446394521;0060928336;5
0060173289;067976402X;5
0446603929;0446605484;5
0671867091;0671888587;5
0671025333;0449006530;5
0446394521;0070212570;5
0060977493;0060987103;5
0060173289;0385484518;5
0671888587;0440234743;5
0425118703;0451132378;5
0316780375;0671510053;5
0671534734;0440211727;5
0375414053;0060928336;5
1558745157;0312278586;5
0446603929;0425163407;5
0452283442;0385504209;5
0345423291;0670894605;5
0553583441;0316666343;5
0060175400;0060199652;5
0740704818;0380718340;5
0316788228;0679781587;5
0316168688;0375727345;5
0553569910;0515122491;5
0446394521;014023313X;5
0440241162;0312983271;5
0060173289;0399146431;5
0060977493;0060915544;5
0440225817;0316666343;5
0446394521;0671021001;5
1558745718;1558744150;5
0441172717;0345314255;5
0689817851;0312278586;5
044900371X;0142001740;5
0671673688;0671004565;5
0345384350;0425142485;5
1558745718;1558744592;5
0679405283;0345337662;5
006440188X;043935806X;5
0345384350;0425119653;5
0743439740;0671004530;5
0345384350;0425121259;5
0330332775;0330367358;5
0345384350;0451181379;5
1558745718;0971880107;5
0679735909;0064400557;5
0446363251;0440226430;5
0060926317;0609804138;5
0425121259;0451177096;5
0679405283;0679412956;5
0316789089;0786868716;5
0380730847;0425147622;5
0385498802;0449005615;5
0786867647;0070212570;5
0345384350;0451176464;5
0786867647;0312305060;5
0452278902;0452279178;5
0452283205;1400034779;5
0446670111;0375726403;5
0345459202;044021145X;5
0452262143;0345313860;5
0062502182;0142000205;5
0553278592;0373244487;5
0553278592;0515132020;5
0553278592;051513287X;5
0553278592;0553295977;5
0446391301;0452269571;5
0786867647;0316601950;5
055356773X;0061009059;5
0375705171;014029628X;5
0345384350;0425147517;5
0345384350;044021145X;5
0385335830;0061009059;5
0140257934;0446672211;5
0786889020;0312195516;5
0671727796;0380002930;5
0425121259;0451156609;5
0385498802;0446610038;5
1592400876;0375727345;5
1558744592;1558745718;5
0345384350;0066214122;5
0330332775;0749397543;5
0446363251;0671003755;5
0316789089;068484477X;5
0449002411;0316666343;5
0679736042;0060987103;5
0312980159;0312980140;5
0743436210;0140067477;5
0786868619;0425167313;5
0515133302;0440236673;5
0515133302;044023722X;5
0515133302;0440241073;5
0804115613;0385505833;5
0679735771;0679723161;5
0515133302;0316666343;5
0804115613;0440226430;5
0786867647;0375727345;5
0671027387;0786868716;5
0515121495;0446610038;5
0446363251;0312195516;5
0515121495;0446606189;5
0676973655;067976402X;5
0446363251;0380002930;5
0380728133;0312195516;5
0671670689;067164257X;5
034536676X;0671021001;5
0140186409;0316769487;5
0312284683;0786868716;5
0446363251;0316666343;5
0446363251;0345370775;5
0553278592;0515128554;5
0425179885;0446607657;5
0786890436;0142001740;5
0425179885;0446602620;5
0684814994;0385505833;5
0345386108;0380710218;5
0140254544;155874262X;5
0062502182;0380789035;5
0425119653;0425107469;5
0345465083;0060987103;5
0449912558;0060987103;5
0553569910;0312966091;5
0345335511;0812551478;5
0425179885;0671042262;5
0316168815;0385504209;5
0449912558;0679751521;5
0312284683;0316666343;5
0684810395;0743206029;5
0373244487;0373483503;5
0553278223;0316769487;5
0345386108;0345384369;5
0385722192;0385498721;5
0452264464;0156027321;5
0425119653;0345384350;5
0446391301;0316776963;5
0804117683;0316666343;5
0743439740;0380710218;5
0671042572;0804106304;5
0446391301;0345361792;5
0425119653;0385504209;5
0553583441;0553583468;5
0446391301;0375727345;5
0743460529;0385504209;5
067100042X;0312966091;5
0553213148;0842329242;5
0345386108;044021145X;5
0062502182;0345337662;5
0671568175;0440200989;5
0064401847;0440219078;5
0375413634;0312278586;5
0312263120;0060392452;5
055356451X;0425154092;5
0743460529;0440213525;5
055356451X;0425151867;5
1559029838;0312924585;5
0345386108;0316666343;5
0553583468;0553583441;5
0452264464;0316899984;5
0553583468;055357695X;5
0553583468;0553575538;5
006016848X;0842329129;5
0684814994;0316666343;5
0441009239;0316666343;5
0345386108;074343627X;5
0316788228;1400034779;5
1558745157;0142001740;5
0449912558;0394820371;5
0553278355;0446672211;5
0345459202;0446672211;5
0064400042;0064400557;5
0060920084;059035342X;5
002542730X;0743418174;5
0553583441;0515136530;5
0451188454;074343627X;5
0553278746;0345342968;5
0374121230;0316666343;5
0385335830;0140293248;5
0345459202;0345445848;5
0553278746;0449212602;5
0385503857;0316666343;5
0316780375;067976402X;5
0446670111;0786868716;5
0749395990;0749397357;5
0452260116;0452282829;5
0767905385;0375727345;5
0812971043;0385504209;5
055356451X;0316666343;5
0671534734;067164257X;5
0425178951;0380723638;5
0425178951;0380721643;5
0140257934;067976402X;5
0425178951;0380725827;5
0446391301;0802130208;5
0743225082;0316666343;5
0679412956;0679405283;5
0451142934;0451160525;5
0312924801;0425163407;5
0142001821;0385722206;5
0345402871;044021145X;5
038549081X;034536676X;5
080411868X;0446672211;5
0380725827;0380725835;5
0385730586;0316096199;5
0064400042;0312278586;5
0060175966;0380813815;5
0425175405;0440220602;5
0060175966;0375700757;5
0786817070;0345337662;5
0425133540;0440221471;5
0425133540;0440220602;5
0671024248;0316776963;5
0440217563;067976402X;5
0786817070;0142001740;5
0553582747;0743235150;5
0060929790;0316769487;5
038549081X;0140067477;5
0743235150;0670855030;5
0804111359;0743418174;5
0385730586;0142001740;5
0802130208;0440180295;5
0671042572;0440222656;5
0440224624;0440213525;5
0553268449;0671003755;5
0553582747;0671888587;5
0802130208;0449005615;5
0786817070;0316769487;5
0446523569;0385504209;5
0684801051;0679781587;5
0385318782;068484477X;5
0312924801;0440202043;5
0060175966;0375726403;5
0670032379;0316096199;5
0385319207;0671510053;5
0385319207;068484477X;5
031298328X;0671001795;5
0671729462;0316666343;5
0385479565;0345337662;5
0385479565;0345361792;5
0385730586;0743418174;5
0316154059;0399150897;5
0440225825;0425182878;5
0618002219;0312195516;5
0553582747;0671004530;5
0345354621;0440211727;5
0553582747;0553579754;5
0553582747;0553582755;5
0425133540;0446364193;5
0553582747;0553580221;5
0385336179;0060987529;5
0385730586;0786868716;5
0446606324;0446604844;5
0385335830;0767905180;5
0446606324;0446607711;5
0671693816;0316690619;5
0385479565;0439139600;5
0375726349;0142001740;5
0385479565;043935806X;5
0679734775;0743418174;5
0552134627;0552134651;5
0670032379;0312195516;5
0553580272;0812550706;5
0671024248;0060987103;5
0515087122;0515090506;5
0440241413;0385336179;5
0446523569;0316666343;5
0316788228;0385504209;5
0060175966;0449005615;5
0786817070;0380977788;5
0345402871;034540288X;5
0312199430;0449005615;5
0060175966;0385504209;5
0385730586;1400031354;5
0380804557;059035342X;5
0312924801;0440235596;5
0786868619;031242227X;5
0425192725;0316666343;5
0375502238;0345435168;5
0671617028;0140440046;5
0425133540;0440234743;5
0441001971;0060987103;5
0449005909;0316666343;5
0345402871;0316666343;5
0767905938;0316666343;5
0440204208;0446610038;5
0805019375;0805059555;5
0802130208;0446391301;5
0060929790;0316666343;5
0399133143;0525941908;5
0399133143;0452279178;5
0671693816;0312278586;5
0446606324;0446608890;5
0064400042;0316666343;5
0060175966;0679781587;5
0385319207;0452282152;5
0449006522;0345417623;5
0345413903;0671001795;5
0425115801;0385504209;5
0060929790;0451203895;5
0446611808;0440241073;5
0375706410;0812550706;5
0440219078;0553279378;5
0679734775;0440998050;5
0374199698;0375726403;5
0385482388;0804114986;5
0446520802;0446672211;5
002542730X;0439136350;5
0446611808;0446531332;5
0380725835;0380725827;5
0060976241;0679781587;5
0671003364;0671744216;5
0671024108;0671042262;5
0425188787;0385504209;5
0671888587;0316666343;5
044651862X;0385484518;5
0142001805;0743418174;5
0440241537;0446613266;5
1558745718;0385484518;5
0446611808;0446610038;5
0446611808;0446611212;5
0446520802;0446525537;5
0385318782;0316666343;5
0887307876;0385504209;5
0345301110;0345313860;5
0425115801;0425130711;5
0060916508;0156027321;5
0451153553;0385504209;5
0451523377;0316666343;5
0345450892;0743418174;5
0618002235;043935806X;5
0425115801;0425132951;5
0345413903;0743418174;5
0425170349;0446601241;5
042511774X;0316666343;5
0671693816;0385484518;5
0618002235;0439139597;5
0446520802;043935806X;5
0425170349;0440225701;5
0380721643;0425178951;5
0345413903;0425178765;5
0515132187;0515131229;5
0385503954;0385721420;5
0385486804;0375726403;5
080411935X;0060928336;5
0394800168;039480001X;5
0446605409;044021145X;5
0142001805;0060987103;5
0553582143;0553582127;5
0060916508;0060928336;5
0441003257;0786817070;5
0345413903;0425182878;5
0671024108;0440241073;5
0743469801;0316096199;5
0374129983;0743418174;5
0553582143;0425182878;5
0441003257;0060987529;5
0553268449;0385722206;5
044651862X;0743418174;5
0743245520;0316603287;5
0345391802;0060987103;5
0440219078;0440998050;5
0804111898;0804105820;5
0394800168;0345337662;5
002542730X;0399501487;5
0743245520;0316693200;5
0440219078;0446610038;5
044651862X;0670844527;5
0552134651;0552134627;5
0060916508;0060987529;5
0671024108;0446610038;5
0671693816;038550120X;5
0804114609;0440226430;5
0345301110;0312195516;5
0345392825;0316666343;5
0441003257;059035342X;5
0374129983;0971880107;5
0743245520;0316666343;5
0345354613;0345353145;5
0441003257;0671027360;5
0425115801;044022165X;5
1565122968;0679781587;5
006099486X;067976402X;5
0375706410;0684874350;5
0060929790;1400031354;5
0553582135;0786868716;5
0345391802;0140298479;5
0375500510;0671003755;5
0671024108;0312983867;5
0671024108;0312976275;5
0440219078;0440498058;5
1551665301;0446605239;5
0553582143;0312966091;5
1565122968;067976402X;5
042511774X;0060502258;5
0743235150;0553582747;5
0451409973;0312195516;5
0385479565;0609804138;5
0805019375;0553271636;5
0688177859;0316666343;5
0060916508;068484477X;5
0553572040;014028009X;5
0679441018;0312195516;5
0743411250;042518286X;5
0786817070;0439139597;5
042511774X;067976402X;5
0345397819;0679441018;5
0749397543;0330332775;5
0425133540;059035342X;5
0316780375;0385720106;5
0786817070;0441003257;5
0385479565;0440498058;5
0375500510;0375706771;5
0316788228;0375727345;5
0060175400;0684874350;5
0440241162;0767907817;5
0671534718;051511992X;5
0553582755;0451156609;5
0802130208;0385722206;5
006099486X;0671510053;5
0380725827;0380721643;5
0618002219;0618002235;5
0425109720;042510107X;5
0425109720;0425180964;5
0425174271;0425146413;5
0345424719;0446310786;5
0374129983;044021145X;5
0812551478;0345335511;5
0425174271;0425137562;5
0894808249;0452282152;5
002542730X;0316096199;5
0060188731;0312282990;5
0425174271;0425132048;5
0385502532;0060928336;5
0440225825;0440236053;5
0451147367;0451176464;5
076790592X;0786868716;5
0451157443;0451180232;5
0451157443;0451176464;5
080213825X;0312305060;5
051512219X;0671744216;5
0552137030;0552124753;5
0345397819;0345339703;5
0312199430;0316666343;5
0670031909;0670030643;5
0060929790;0385722206;5
0312199430;0375727345;5
0345397819;0345334531;5
0451409973;0375502238;5
0425174271;0316666343;5
0425109720;0425083837;5
0552137030;0552131059;5
0345423402;0441304834;5
0671534718;0385504209;5
039592720X;0375726403;5
0553280414;0345370775;5
0345423402;0441004520;5
0385502532;0142000205;5
0804114609;0786868716;5
0451147367;0451153553;5
0671003364;0373483503;5
0375500510;0316096199;5
0553280414;0451526341;5
0425109720;0425122123;5
0618002219;0385504209;5
087113795X;0312195516;5
0451147367;0451172817;5
0446516538;0140244824;5
0060188731;0316666343;5
039592720X;067976402X;5
0312199430;0375726403;5
0345370805;038079487X;5
0671670689;0440207622;5
0452284449;0671027360;5
080213825X;0312278586;5
0812551478;059035342X;5
0060175966;1400034779;5
0446516538;0316666343;5
0345423402;0425181685;5
0060929790;0375406530;5
0061092886;0061097853;5
087113795X;0312278586;5
0671880314;0156027321;5
0515132187;059035342X;5
0380727501;0060392452;5
0618002219;0446365386;5
0804111359;0679746048;5
0451137965;0451142934;5
0515135062;051513287X;5
0802130208;0156027321;5
0802130208;0060987103;5
0425118703;0425136981;5
0425118703;042513525X;5
0679439382;0316096199;5
0312924801;0312978383;5
0452284449;0060915544;5
0345389417;0440213525;5
0553569910;0671705091;5
0060988649;0312195516;5
0786808551;0786817070;5
0440225817;0446610038;5
0446613266;0446609323;5
0446613266;0446611212;5
0385729332;0385335881;5
140003065X;044023722X;5
0385335830;0446605239;5
0440241162;0515136530;5
0385335830;0446600474;5
0440225817;0446608815;5
0679439382;0312278586;5
0670032379;0385505833;5
0375502238;0375727345;5
0684865742;0375727345;5
0385730586;0060987103;5
0609807900;0446670251;5
0740704818;0446672211;5
0749397357;0749395990;5
0679744398;044023722X;5
1551665301;0375412824;5
1573229571;0452282152;5
0060958022;0877017883;5
0312924801;0312195516;5
0385324057;0316666343;5
0385335830;0446606812;5
0312201656;0385722206;5
0670032379;0375727345;5
0449005909;0060976845;5
0446523569;0446525537;5
0310205719;0842329218;5
038549081X;0375727345;5
0553580272;0441172695;5
0380804557;0316666343;5
0553582755;0553582747;5
0553582755;0553580221;5
0553582755;0553580191;5
0812570944;0316666343;5
0743235150;034538475X;5
0064400042;0312195516;5
0553582755;059035342X;5
0060175400;067976402X;5
0670032379;0385484518;5
0385729332;0743418174;5
0446613266;0446601241;5
0786817070;0060930535;5
0316693286;0446364193;5
0446613266;0440241537;5
0446613266;0446606189;5
0446613266;0446605484;5
034541389X;0743418204;5
0312199430;0679781587;5
0380725827;0380723638;5
0451151259;0451160525;5
002542730X;0345438329;5
034539657X;0345337662;5
076790592X;0316666343;5
0394800168;0440998050;5
0394820371;0312195516;5
0553268449;0345438329;5
0451151259;0451142934;5
0385482388;0553280341;5
0451151259;0440206154;5
0553561618;0553571885;5
087113795X;0060934417;5
0385502532;0385720106;5
0385482388;0671003755;5
0451151259;067102423X;5
0440219078;0553279912;5
0451151259;0451176464;5
0451151259;043935806X;5
0441003745;0441010512;5
0375706410;0871136791;5
0394800168;0877017883;5
0446612545;0312291639;5
0385482388;0385265700;5
0679441018;0679412956;5
0553571885;0446610038;5
0679441018;0679454489;5
0425172546;0312924585;5
002542730X;0345370775;5
0394820371;0439064864;5
051512219X;0515136530;5
0515120006;0515122734;5
0553582526;0425180638;5
042511774X;0385720106;5
038548951X;0142001740;5
0345335465;0345368932;5
0446611808;0312983271;5
0553582526;0425154092;5
034539657X;0440211727;5
0786862564;0440226430;5
034539657X;044021145X;5
0515120006;051511779X;5
0553571885;0440225701;5
0786862564;0385504209;5
0451190521;0312983867;5
0375706410;0679746048;5
0385486804;0553572997;5
0394223802;034536676X;5
0440241537;0440236673;5
0394820371;0439136350;5
0451190521;0312966970;5
0451180410;0380731851;5
0425168298;0425141233;5
0425168298;0425147622;5
0385319207;0375707972;5
0425172546;0449219364;5
0345413903;0316666343;5
0515135739;0312980159;5
0452284449;067976402X;5
0446611778;0440241073;5
067164257X;0446608955;5
0394820371;0142001740;5
0345452534;0316693200;5
0394820371;014029628X;5
0440241537;0440214041;5
0446520802;059035342X;5
0394223802;0375707972;5
0425115801;0345342968;5
0345452534;0345452550;5
0440241537;044022165X;5
0684195976;0399145087;5
0553268449;1400031354;5
0142001805;1400034779;5
0385482388;0385504209;5
0449907481;0375727345;5
0553801376;0385504209;5
0767905202;0316666343;5
0441790348;042513525X;5
0373218192;042518630X;5
0373218192;0399149848;5
0373218192;0399149392;5
0064401847;0553280341;5
0060085452;0316666343;5
0440224780;0440200563;5
0345384377;0385504209;5
0671867156;0671673688;5
0441172695;0441102670;5
1592400876;0312305060;5
0060922532;0440226430;5
0385509456;0375727345;5
0684833395;0060929871;5
0684833395;0060929790;5
0679736042;0679781587;5
0385509510;0060976845;5
0689817851;0385504209;5
0679412956;0679441018;5
0449907481;0142001740;5
0743460529;0671004573;5
0312274920;1400031354;5
0684833395;0312195516;5
0345366239;044021145X;5
0743460529;0671004549;5
0743460529;0671003755;5
0385509510;0385337116;5
0684853523;0440211727;5
0385509510;0316666343;5
0449907481;0060922532;5
0553569031;0425163407;5
0449907481;0060934417;5
0786866845;0061009059;5
0345424719;0060977493;5
0394820371;0345438329;5
1573221937;0142001740;5
0316969680;0399148639;5
1565122968;0316096199;5
0671003364;051513287X;5
0515132187;0515126772;5
0393319296;0590353403;5
0553571885;044021145X;5
042511774X;0385335881;5
034539657X;0425132951;5
0393319296;059035342X;5
034539657X;0425147517;5
1573221937;0312195516;5
0394820371;0312966091;5
0373250118;0316666343;5
0552137030;0060938455;5
0553268449;0316666343;5
0805019375;0399147195;5
034529873X;0345368932;5
0679735771;0440206154;5
0684833395;0345313860;5
0679419462;0440214041;5
0553569031;0425151867;5
1592400876;0140293248;5
0553569031;0425154092;5
0786866845;0316666343;5
0553569031;0380718332;5
0671867156;0671004530;5
0679439382;0312195516;5
0670880728;0590353403;5
0671027387;0312263120;5
0385509456;0385504209;5
1558746226;1558744150;5
0836217691;0836218221;5
0836217691;0836218051;5
0836217691;0836204387;5
0375703861;0156027321;5
0345396936;0345369947;5
0441003257;0141301155;5
0312171838;0312278586;5
0553561618;0446606189;5
0446611867;0786868716;5
0553582135;044023722X;5
0767905385;0767900383;5
1573229571;0743418174;5
0451190491;0451160525;5
0679444815;0066214122;5
0440241537;0671027360;5
0684195984;0399143947;5
039480001X;1558531025;5
0345391802;0345391810;5
0345391802;0380002930;5
0374199698;0312278586;5
0345391802;0812550706;5
0679446486;044021145X;5
0804114609;0142001740;5
0671729462;0671695169;5
0553582135;0446611212;5
0679444815;0385504209;5
0345391802;0446310786;5
0060964049;044021145X;5
0312150601;067976402X;5
0451456521;0312195516;5
0425115801;0451156609;5
0446519138;0070212570;5
0671864173;067976402X;5
0553582135;0553569910;5
1551665301;0446531332;5
0553561618;0345313860;5
0345413903;0553563521;5
0679444815;0316666343;5
0441003257;0553272535;5
0670880728;059035342X;5
0446519138;0316569321;5
0385318782;0375707972;5
0425116840;0425180964;5
0553582135;0440222656;5
0618002235;0618002219;5
0553561618;0440214041;5
0060964049;0671510053;5
039480001X;0061009059;5
0345449347;0345361792;5
0446611867;0446532452;5
0671028367;0446612790;5
0142001805;038572179X;5
0451155750;067102423X;5
0451155750;0451172817;5
0451155750;0451176464;5
0451155750;0451177096;5
0671023616;0440213525;5
039480001X;0064407667;5
014100018X;080410526X;5
0425116840;0425122123;5
0385503954;0375705856;5
0679446486;0345380371;5
0671864173;0671617028;5
0345447840;0446672211;5
0312150601;0375726403;5
0312150601;0316666343;5
0345391810;0451524934;5
0312150601;0312195516;5
0345413903;0449212602;5
0451155750;0451170385;5
0345369947;0345384466;5
0446603589;0316666343;5
0316153915;0316666343;5
0446519138;0671003755;5
0671729462;0671534718;5
0345391810;0345342968;5
006019491X;0375406530;5
0316153915;0316154059;5
067164257X;0446605239;5
002542730X;0385504209;5
0446611867;0440211263;5
039480001X;0394800168;5
0446611867;0316096199;5
0451155750;0743211383;5
0345391810;0345391802;5
0345369947;0345396936;5
0671729462;0671670689;5
039480001X;0140067477;5
0553268449;0452269571;5
0441003257;0375725784;5
0446611867;0375727345;5
0446603589;0345370775;5
0553582127;0553582143;5
0553571885;0553579606;5
0670031909;0316666343;5
0425109720;0553250426;5
0345396936;0345353145;5
0553582526;0446612790;5
0345396936;0345351525;5
0316154059;0312265867;5
1558745718;0439064872;5
0767905385;0452282195;5
0553582526;0446612545;5
0380725827;0425178951;5
0425172546;0425147622;5
0345452550;0316603287;5
0312144075;0679746048;5
0425172546;0425154092;5
0670030643;0316666343;5
0345416260;0316776963;5
0385319207;0316569321;5
0385482388;0345370805;5
0316154059;0316153915;5
0446606324;0312195516;5
0425168298;0425121631;5
0670030643;0670031909;5
0316777722;0385335482;5
044652087X;0375706771;5
0375726349;0786868716;5
0316777722;0385504209;5
039592720X;0316569321;5
